,Filename,m_polymer,m_cat,coke_yield,P/C ratio,Tmax,T50
0,SR_TGA_0139_P1-001-3_S04_20Cmin_ratio_01.txt,4.765161,4.746937,0.01224155909947223,1.0038391071969146,392.78,383.74
1,SR_TGA_0139_P1-001-3_S04_20Cmin_ratio_02.txt,4.893753,4.230708,0.01241153772983636,1.1567219954674255,398.15,387.46
2,SR_TGA_0139_P1-001-3_S04_20Cmin_ratio_03.txt,4.909370000000001,2.26278,0.006665621047099814,2.1696187875091706,401.3,391.93
3,SR_TGA_0139_P1-001-3_S04_20Cmin_ratio_04.txt,4.974240999999999,1.147091,0.005809127462863142,4.336396153400209,409.95,400.93
4,SR_TGA_0139_P1-001-3_S04_20Cmin_ratio_05.txt,4.674104,0.500612,0.005725375387453945,9.336779781547387,430.19,418.17
